"시점","구분(1)",구분(2),데이터
"2011.04","경상남도",도평균,53
"2011.04","제주특별자치도",도평균,51
"2011.05","서울특별시",서울특별시,72
"2011.05","대구광역시",대구광역시,66
"2011.05","인천광역시",인천광역시,84
"2011.05","광주광역시",광주광역시,67
"2011.05","대전광역시",대전광역시,67
"2011.05","울산광역시",울산광역시,75
"2011.05","경기도",도평균,80
"2011.05","강원도",도평균,70
"2011.05","충청북도",도평균,72
"2011.05","충청남도",도평균,72
"2011.05","전라북도",도평균,76
"2011.05","전라남도",도평균,67
"2011.05","경상북도",도평균,69
"2011.05","경상남도",도평균,71
"2011.05","제주특별자치도",도평균,80
"2011.06","서울특별시",서울특별시,44
"2011.06","대구광역시",대구광역시,46
"2011.06","인천광역시",인천광역시,50
"2011.06","광주광역시",광주광역시,45
"2011.06","대전광역시",대전광역시,43
"2011.06","울산광역시",울산광역시,55
"2011.06","경기도",도평균,54
"2011.06","강원도",도평균,42
"2011.06","충청북도",도평균,50
"2011.06","충청남도",도평균,42
"2011.06","전라북도",도평균,54
"2011.06","전라남도",도평균,43
"2011.06","경상북도",도평균,48
"2011.06","경상남도",도평균,49
"2011.06","제주특별자치도",도평균,41
"2011.07","서울특별시",서울특별시,28
"2011.07","대구광역시",대구광역시,35
"2011.07","인천광역시",인천광역시,36
"2011.07","광주광역시",광주광역시,28
"2011.07","대전광역시",대전광역시,28
"2011.07","울산광역시",울산광역시,42
"2011.07","경기도",도평균,37
"2011.07","강원도",도평균,27
"2011.07","충청북도",도평균,29
"2011.07","충청남도",도평균,26
"2011.07","전라북도",도평균,32
"2011.07","전라남도",도평균,34
"2011.07","경상북도",도평균,33
"2011.07","경상남도",도평균,34
"2011.07","제주특별자치도",도평균,28
"2011.08","서울특별시",서울특별시,27
"2011.08","대구광역시",대구광역시,32
"2011.08","인천광역시",인천광역시,36
"2011.08","광주광역시",광주광역시,27
"2011.08","대전광역시",대전광역시,25
"2011.08","울산광역시",울산광역시,35
"2011.08","경기도",도평균,35
"2011.08","강원도",도평균,25
"2011.08","충청북도",도평균,27
"2011.08","충청남도",도평균,26
"2011.08","전라북도",도평균,31
"2011.08","전라남도",도평균,32
"2011.08","경상북도",도평균,29
"2011.08","경상남도",도평균,31
"2011.08","제주특별자치도",도평균,28
"2011.09","서울특별시",서울특별시,29
"2011.09","대구광역시",대구광역시,32
"2011.09","인천광역시",인천광역시,40
"2011.09","광주광역시",광주광역시,30
"2011.09","대전광역시",대전광역시,28
"2011.09","울산광역시",울산광역시,35
"2011.09","경기도",도평균,37
"2011.09","강원도",도평균,29
"2011.09","충청북도",도평균,34
"2011.09","충청남도",도평균,32
"2011.09","전라북도",도평균,34
"2011.09","전라남도",도평균,30
"2011.09","경상북도",도평균,32
"2011.09","경상남도",도평균,31
"2011.09","제주특별자치도",도평균,29
"2011.10","서울특별시",서울특별시,42
