자치구,성별,연령대,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,연령대_1,월
종로구,2,40,1.6,2.3,62.3,493.3,2.7,7718.9,21.8,0.0,143.6,16.3,18.1,6.7,5.5,29.9,11.3,1082728.8,300818.2,718.6,353.6,9.9,36.7,81.5,140.6,23.0,0.0,-0.3,8.2,2.6,1.7,40,2
종로구,2,45,1.4,2.1,63.2,493.1,2.3,9226.3,14.51,-0.1,141.1,22.1,18.5,7.2,5.5,31.0,11.2,1080279.4,308504.7,666.3,357.6,9.4,34.8,68.1,121.4,21.8,0.0,-0.3,7.7,3.4,1.7,40,2
종로구,2,50,1.5,2.2,55.2,486.3,2.6,7205.3,19.81,-0.1,137.7,19.0,17.4,6.7,3.1,31.4,11.8,1071786.3,304715.2,710.6,361.2,9.4,33.8,62.8,99.0,17.4,-0.1,-0.4,5.9,2.5,1.7,50,2
종로구,2,70,1.5,1.6,0.0,0.0,0.0,5166.7,18.03,-0.2,106.8,14.4,12.7,4.3,0.9,20.3,9.2,1230675.0,349175.8,455.8,235.3,7.0,26.8,13.5,28.4,10.2,-0.2,-0.6,6.7,0.0,0.0,70,2
종로구,2,75,1.4,1.0,0.0,0.0,3.3,4333.3,15.95,-0.2,104.5,14.1,10.6,3.6,0.7,15.2,6.9,1354227.1,390134.3,305.1,151.8,5.0,24.1,18.2,23.0,7.9,-0.4,-0.6,4.9,1.7,0.0,70,2
종로구,1,20,2.5,3.9,51.3,482.3,2.5,7583.3,5.71,0.1,97.5,17.0,10.6,3.1,15.3,22.5,9.3,1181242.2,359980.4,610.0,307.7,8.6,57.2,74.4,84.1,31.2,0.3,-0.1,12.8,2.5,1.7,20,2
종로구,1,40,2.0,2.3,62.8,559.5,2.2,5492.8,17.12,0.1,117.3,12.8,19.8,6.0,10.0,37.7,12.0,849483.0,248812.1,971.3,413.4,15.8,57.9,134.6,140.7,34.1,0.1,-0.3,11.6,3.9,1.7,40,2
종로구,1,45,1.9,2.2,66.4,509.4,2.5,5393.9,15.92,0.1,123.0,15.0,21.4,7.1,7.3,37.5,12.2,860418.7,264061.4,1077.7,398.6,14.7,53.2,122.0,130.4,29.0,0.0,-0.3,8.3,2.7,1.7,40,2
종로구,1,75,1.8,1.0,0.0,0.0,0.0,0.0,16.28,-0.2,50.4,4.8,8.8,2.8,1.3,15.1,5.8,1277507.2,375188.4,248.9,116.7,9.0,25.7,16.4,27.1,13.1,-0.5,-0.7,1.7,0.0,1.7,70,2
종로구,2,30,2.4,2.8,58.4,539.8,2.2,7260.9,24.36,0.1,93.6,9.4,12.9,5.1,9.7,28.5,11.5,960570.6,264610.1,556.7,373.6,12.8,40.5,101.5,154.8,30.8,0.1,-0.2,12.6,2.3,1.7,30,2
