시점,구분(1),구분(2),데이터
2017.07,대구광역시,대구광역시,19
2017.07,인천광역시,인천광역시,23*
2017.07,광주광역시,광주광역시,16
2017.07,대전광역시,대전광역시,17
2017.07,울산광역시,울산광역시,27
2017.07,세종특별자치시,세종특별자치시,18
2017.07,경기도,도평균,21
2017.07,강원도,도평균,19
2017.07,충청북도,도평균,16
2017.07,충청남도,도평균,20
2017.07,전라북도,도평균,19
2017.07,전라남도,도평균,19
2017.07,경상북도,도평균,17
2017.07,경상남도,도평균,23
2017.07,제주특별자치도,도평균,16
2017.08,서울특별시,서울특별시,13
2017.08,부산광역시,부산광역시,16
2017.08,대구광역시,대구광역시,12
2017.08,인천광역시,인천광역시,15
2017.08,광주광역시,광주광역시,15
2017.08,대전광역시,대전광역시,11
2017.08,울산광역시,울산광역시,16
2017.08,세종특별자치시,세종특별자치시,12
2017.08,경기도,도평균,12
2017.08,강원도,도평균,11
2017.08,충청북도,도평균,9
2017.08,충청남도,도평균,15
2017.08,전라북도,도평균,15
2017.08,전라남도,도평균,15
2017.08,경상북도,도평균,13
2017.08,경상남도,도평균,16
2017.08,제주특별자치도,도평균,16*
2017.09,서울특별시,서울특별시,19
2017.09,부산광역시,부산광역시,23
2017.09,대구광역시,대구광역시,21*
2017.09,인천광역시,인천광역시,22
2017.09,광주광역시,광주광역시,22
2017.09,대전광역시,대전광역시,18
2017.09,울산광역시,울산광역시,22
2017.09,세종특별자치시,세종특별자치시,20
2017.09,경기도,도평균,21
2017.09,강원도,도평균,19*
2017.09,충청북도,도평균,22
2017.09,충청남도,도평균,22
2017.09,전라북도,도평균,24
2017.09,전라남도,도평균,18
2017.09,경상북도,도평균,19
2017.09,경상남도,도평균,20
2017.09,제주특별자치도,도평균,17
2017.1,서울특별시,서울특별시,15
2017.1,부산광역시,부산광역시,16
2017.1,대구광역시,대구광역시,17*
2017.1,인천광역시,인천광역시,17
2017.1,광주광역시,광주광역시,20
2017.1,대전광역시,대전광역시,15
2017.1,울산광역시,울산광역시,15
2017.1,세종특별자치시,세종특별자치시,17
2017.1,경기도,도평균,18
2017.1,강원도,도평균,15
2017.1,충청북도,도평균,20
2017.1,충청남도,도평균,19
2017.1,전라북도,도평균,22
2017.1,전라남도,도평균,14
2017.1,경상북도,도평균,17
2017.1,경상남도,도평균,16
2017.1,제주특별자치도,도평균,17
2017.11,서울특별시,서울특별시,22
2017.11,부산광역시,부산광역시,27
2017.11,대구광역시,대구광역시,29
2017.11,인천광역시,인천광역시,23
2017.11,광주광역시,광주광역시,31
2017.11,대전광역시,대전광역시,24
2017.11,울산광역시,울산광역시,25
2017.11,세종특별자치시,세종특별자치시,24
2017.11,경기도,도평균,28
2017.11,강원도,도평균,25
2017.11,충청북도,도평균,33
2017.11,충청남도,도평균,25
2017.11,전라북도,도평균,31
2017.11,전라남도,도평균,22
2017.11,경상북도,도평균,29
2017.11,경상남도,도평균,24
2017.11,제주특별자치도,도평균,25
2017.12,서울특별시,서울특별시,32
2017.12,부산광역시,부산광역시,28
2017.12,대구광역시,대구광역시,29
2017.12,인천광역시,인천광역시,28
2017.12,광주광역시,광주광역시,28
2017.12,대전광역시,대전광역시,25
2017.12,울산광역시,울산광역시,24
2017.12,세종특별자치시,세종특별자치시,21
2017.12,경기도,도평균,35
2017.12,강원도,도평균,31
2017.12,충청북도,도평균,35
2017.12,충청남도,도평균,27
2017.12,전라북도,도평균,30*
2017.12,전라남도,도평균,21
